"","items"
"7650","{waffles}"
"7651","{chicken,frozen vegetables,soda,canned beer,hygiene articles}"
"7652","{chicken,tropical fruit,root vegetables,whole milk,white bread,specialty bar,shopping bags}"
"7653","{frankfurter,whole milk,dessert,white bread,shopping bags}"
"7654","{cooking chocolate}"
"7655","{pork,canned beer}"
"7656","{root vegetables,whole milk,rolls/buns,zwieback,newspapers}"
"7657","{cream cheese ,brown bread}"
"7658","{chocolate}"
"7659","{brown bread,hair spray}"
"7660","{chicken,other vegetables,whole milk,curd,long life bakery product}"
"7661","{turkey,roll products ,dishes}"
"7662","{other vegetables,whole milk,cake bar,detergent}"
"7663","{grapes}"
"7664","{frozen potato products,ketchup,chocolate,hygiene articles,shopping bags}"
"7665","{dog food,pet care,shopping bags}"
"7666","{hamburger meat,whole milk,butter,UHT-milk,cat food,pet care,detergent}"
"7667","{tropical fruit,bottled beer}"
"7668","{citrus fruit}"
"7669","{sausage,whole milk,curd,cat food}"
"7670","{pip fruit,yogurt,brown bread}"
"7671","{tropical fruit,curd,yogurt,whipped/sour cream}"
"7672","{frankfurter,frozen potato products,rolls/buns,specialty fat}"
"7673","{sausage}"
"7674","{baking powder}"
"7675","{bottled water}"
"7676","{root vegetables}"
"7677","{bottled beer}"
"7678","{zwieback}"
"7679","{root vegetables,sliced cheese}"
"7680","{sausage,rolls/buns,fruit/vegetable juice,cake bar}"
"7681","{condensed milk,coffee,shopping bags}"
"7682","{citrus fruit,other vegetables,beverages,snack products}"
"7683","{other vegetables,hard cheese,frozen vegetables,fruit/vegetable juice,long life bakery product}"
"7684","{pet care}"
"7685","{yogurt,canned beer}"
"7686","{pip fruit,condensed milk,bottled beer,red/blush wine,chocolate,shopping bags}"
"7687","{whole milk,brown bread,soda,bottled beer,salty snack,long life bakery product,chocolate,shopping bags}"
"7688","{other vegetables,ice cream}"
"7689","{meat,ice cream,rolls/buns,soda,long life bakery product,napkins}"
"7690","{whole milk}"
"7691","{rolls/buns,dishes}"
"7692","{ham,root vegetables,butter,UHT-milk,rolls/buns,pasta,sugar,coffee,soda}"
"7693","{honey,flower (seeds)}"
"7694","{chicken,citrus fruit,cat food,white wine,shopping bags}"
"7695","{white wine}"
"7696","{semi-finished bread,bottled beer,red/blush wine}"
"7697","{frankfurter,pork,whole milk,yogurt,UHT-milk,brown bread}"
"7698","{other vegetables,curd,whipped/sour cream,pastry,baking powder,canned fruit}"
"7699","{whole milk,pasta,long life bakery product,chocolate}"
"7700","{sausage}"
"7701","{tropical fruit,root vegetables,whole milk,hard cheese,curd cheese,sugar,canned fish}"
"7702","{other vegetables,whole milk,soda}"
"7703","{soda,bottled beer}"
"7704","{specialty bar}"
"7705","{pork,berries,whole milk,butter,yogurt,whipped/sour cream,hard cheese}"
"7706","{butter,sliced cheese,frozen dessert,rolls/buns,pastry,soda,bottled beer}"
"7707","{yogurt,napkins}"
"7708","{tropical fruit,pip fruit,grapes}"
"7709","{bottled beer}"
"7710","{sausage,pip fruit,berries,whole milk,curd,dessert,butter milk,yogurt,whipped/sour cream,soft cheese,sliced cheese,curd cheese,domestic eggs,rolls/buns,sugar,long life bakery product}"
"7711","{grapes,hard cheese}"
"7712","{pork,beef,whole milk,frozen vegetables,sugar,canned beer,detergent,skin care,napkins,flower (seeds)}"
"7713","{citrus fruit}"
"7714","{yogurt,liquor (appetizer),nut snack,long life bakery product,hygiene articles,shopping bags}"
"7715","{brandy,liquor,liquor (appetizer),long life bakery product,dish cleaner,napkins,dishes,shopping bags}"
"7716","{turkey,frozen potato products,soda}"
"7717","{whole milk,cake bar}"
"7718","{finished products,grapes,other vegetables,curd,beverages,rolls/buns,pastry,waffles,specialty bar}"
"7719","{onions,other vegetables,soft cheese,hard cheese,salad dressing,specialty chocolate}"
"7720","{yogurt,specialty chocolate}"
"7721","{curd,seasonal products,female sanitary products}"
"7722","{beef,root vegetables,onions,herbs,whole milk,curd cheese,rolls/buns,oil,jam,bottled water,waffles}"
"7723","{misc. beverages}"
"7724","{sausage,whole milk,curd,bottled beer}"
"7725","{citrus fruit,whipped/sour cream,brown bread,bottled water,hygiene articles}"
"7726","{chicken,pork,herbs,other vegetables,canned fish,misc. beverages,napkins,newspapers}"
"7727","{other vegetables,butter milk,bottled water,bottled beer}"
"7728","{ice cream}"
"7729","{sausage,chicken,grapes,whole milk,cream cheese ,ice cream,domestic eggs,pickled vegetables,soda,chocolate,shopping bags}"
"7730","{tropical fruit,whole milk,salty snack,kitchen towels}"
"7731","{pip fruit,butter,soft cheese,white bread,misc. beverages}"
"7732","{grapes,brown bread}"
"7733","{berries,whole milk}"
"7734","{bottled water}"
"7735","{pork,tropical fruit,nuts/prunes,rolls/buns,newspapers}"
"7736","{pork,tropical fruit,processed cheese,specialty vegetables,bottled water,soda,bottled beer}"
"7737","{sausage,rolls/buns}"
"7738","{rolls/buns}"
"7739","{whole milk,ice cream,soda}"
"7740","{beef,citrus fruit,grapes,berries,butter milk,yogurt,sliced cheese,rolls/buns}"
"7741","{beef,soft cheese,chewing gum}"
"7742","{ham,tropical fruit,root vegetables,other vegetables,whole milk,butter,yogurt,frozen vegetables,frozen dessert,frozen potato products,white bread,pasta,honey,chewing gum,detergent,hygiene articles}"
"7743","{other vegetables,butter}"
"7744","{hamburger meat,hard cheese,sauces,coffee,toilet cleaner,shopping bags}"
"7745","{berries,whole milk,whipped/sour cream,pastry,soda,chewing gum,chocolate,candy}"
"7746","{sausage,processed cheese,white bread}"
"7747","{citrus fruit,other vegetables,UHT-milk,domestic eggs,white bread,pickled vegetables}"
"7748","{whole milk,curd,yogurt,whipped/sour cream,margarine}"
"7749","{citrus fruit}"
"7750","{bottled water,long life bakery product}"
"7751","{sausage,mayonnaise,rolls/buns,shopping bags}"
"7752","{meat,other vegetables,whole milk,pastry,soda,newspapers}"
"7753","{tropical fruit,coffee,candy,soap,shopping bags}"
"7754","{pip fruit,whole milk,brown bread,fruit/vegetable juice,bottled beer,red/blush wine,shopping bags}"
"7755","{other vegetables,canned beer,shopping bags}"
"7756","{berries,frozen vegetables,frozen meals}"
"7757","{other vegetables,butter,beverages,soda,photo/film,shopping bags}"
"7758","{frankfurter,root vegetables,butter milk,canned fish,bottled beer}"
"7759","{sausage,whole milk,domestic eggs,sugar,coffee,napkins,newspapers,shopping bags}"
"7760","{meat,hamburger meat,onions,other vegetables,condensed milk,brown bread}"
"7761","{yogurt,oil,pickled vegetables,fruit/vegetable juice,salty snack,hygiene articles}"
"7762","{canned beer,cookware}"
"7763","{whole milk,yogurt,cream cheese ,frozen meals,shopping bags}"
"7764","{sausage,other vegetables}"
"7765","{frankfurter,other vegetables}"
"7766","{frankfurter,citrus fruit,other vegetables,whole milk,yogurt,zwieback,vinegar,cleaner}"
"7767","{sausage,citrus fruit,tropical fruit,root vegetables,butter milk,brown bread,mustard,popcorn,shopping bags}"
"7768","{citrus fruit,root vegetables,other vegetables,dessert,pastry,chocolate,dishes,candles}"
"7769","{frozen meals,soda,napkins}"
"7770","{sausage,citrus fruit,whole milk,sliced cheese,frozen meals,white bread,chewing gum,photo/film}"
"7771","{whole milk,brown bread,flower (seeds)}"
"7772","{ham,whole milk,sliced cheese,spread cheese,brown bread,pickled vegetables,bottled beer,shopping bags}"
"7773","{cling film/bags}"
"7774","{chicken}"
"7775","{red/blush wine}"
"7776","{chicken,grapes,whole milk,yogurt,sliced cheese,bottled water,fruit/vegetable juice}"
"7777","{hamburger meat,root vegetables,other vegetables,dessert,rolls/buns}"
"7778","{bottled water,soda}"
"7779","{curd,whipped/sour cream}"
"7780","{frankfurter,rolls/buns,ketchup,soda}"
"7781","{turkey,whole milk,liquor (appetizer),shopping bags}"
"7782","{tropical fruit,whole milk,rolls/buns,prosecco,salty snack,specialty bar}"
"7783","{other vegetables,yogurt,whipped/sour cream,brown bread,margarine,shopping bags}"
"7784","{pip fruit,bottled water,candy}"
"7785","{meat,rolls/buns,soda,bottled beer}"
"7786","{sausage,beef,root vegetables,other vegetables,white bread,pastry,soda,shopping bags}"
"7787","{mayonnaise,white wine,shopping bags}"
"7788","{soda,specialty chocolate,male cosmetics,shopping bags}"
"7789","{pork}"
"7790","{rolls/buns}"
"7791","{soda}"
"7792","{whole milk,rolls/buns}"
"7793","{berries}"
"7794","{ham}"
"7795","{rolls/buns,liquor}"
"7796","{rolls/buns,canned beer}"
"7797","{onions,whole milk,yogurt,rolls/buns,brown bread,fruit/vegetable juice}"
"7798","{whole milk,yogurt,domestic eggs,baking powder,newspapers}"
"7799","{yogurt,condensed milk,sliced cheese,rolls/buns,margarine,bottled water,soda,cling film/bags}"
"7800","{rolls/buns}"
"7801","{whole milk}"
"7802","{rolls/buns}"
"7803","{rolls/buns,bottled beer}"
"7804","{pip fruit,berries,other vegetables,butter,yogurt,soda,chocolate,house keeping products}"
"7805","{frankfurter,whipped/sour cream,sugar,fruit/vegetable juice,napkins,newspapers}"
"7806","{turkey,grapes,other vegetables,hard cheese,frozen vegetables,rolls/buns,misc. beverages,newspapers}"
"7807","{onions,other vegetables,roll products ,bottled beer,liquor (appetizer),newspapers}"
"7808","{beef,pip fruit,other vegetables,whole milk,frozen vegetables,rolls/buns}"
"7809","{sausage,citrus fruit,berries,whipped/sour cream,rolls/buns,canned beer,specialty bar,napkins}"
"7810","{other vegetables,soft cheese,soda,bottled beer}"
"7811","{chicken,tropical fruit,berries,whole milk,whipped/sour cream,beverages,sugar,dishes}"
"7812","{sausage,pork,beef,pip fruit,grapes,other vegetables,whole milk,butter,curd,yogurt,pastry,bottled water,hygiene articles,napkins}"
"7813","{tropical fruit,pip fruit,whole milk,rolls/buns,coffee,hygiene articles}"
"7814","{tropical fruit,root vegetables,butter,pasta,soda,napkins}"
"7815","{pip fruit,UHT-milk,curd cheese,coffee}"
"7816","{yogurt,soda}"
"7817","{tropical fruit,root vegetables,whole milk,butter,curd,yogurt,pudding powder,coffee}"
"7818","{soda,canned beer}"
"7819","{rolls/buns,soda}"
"7820","{condensed milk}"
"7821","{domestic eggs,pastry,margarine,cooking chocolate}"
"7822","{candles}"
"7823","{butter milk,brown bread,pastry}"
"7824","{whole milk,curd,semi-finished bread}"
"7825","{beef,herbs,whole milk,pickled vegetables,cat food}"
"7826","{meat,beef,berries,other vegetables,curd,yogurt,whipped/sour cream,UHT-milk,brown bread}"
"7827","{citrus fruit,whole milk,domestic eggs}"
"7828","{beef,hamburger meat,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,whole milk,butter,whipped/sour cream,hard cheese,rolls/buns,brown bread,oil,waffles,cake bar}"
"7829","{UHT-milk,sugar,soda}"
"7830","{berries,whole milk,flour,baking powder,dog food,chocolate}"
"7831","{rolls/buns}"
"7832","{whole milk,butter milk,yogurt,beverages,bottled water,soda,newspapers}"
"7833","{pork,whole milk}"
"7834","{candles}"
"7835","{pork,other vegetables,whipped/sour cream,rolls/buns,brown bread,pastry,sugar,dishes}"
"7836","{salt,detergent}"
"7837","{citrus fruit,tropical fruit,whole milk,frozen meals,rolls/buns,brown bread}"
"7838","{other vegetables,whole milk,frozen vegetables}"
"7839","{pastry}"
"7840","{waffles}"
"7841","{curd,rolls/buns,pastry}"
"7842","{whole milk,rolls/buns,oil,detergent,shopping bags}"
"7843","{sausage,root vegetables,other vegetables,frozen vegetables,rolls/buns,white bread,baking powder,bottled beer,detergent}"
"7844","{soda,fruit/vegetable juice,long life bakery product}"
"7845","{ice cream,brown bread,pastry,napkins}"
"7846","{tropical fruit,whole milk,butter milk,brown bread,bottled water}"
"7847","{ham,pip fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,hard cheese,domestic eggs,margarine}"
"7848","{meat,tropical fruit,rolls/buns,instant coffee,soda,chocolate,newspapers}"
"7849","{berries,yogurt,domestic eggs,rolls/buns}"
"7850","{other vegetables,whole milk,rolls/buns,long life bakery product,flower (seeds)}"
"7851","{beef,white bread}"
"7852","{bottled beer}"
"7853","{butter,pastry,cat food,canned beer,hygiene articles,shopping bags}"
"7854","{whole milk,rolls/buns,white bread,soap}"
"7855","{citrus fruit,whole milk,snack products}"
"7856","{frankfurter,tropical fruit,whole milk}"
"7857","{sausage,chicken,tropical fruit,onions,other vegetables,dessert,whipped/sour cream,UHT-milk,cream cheese ,pastry,bottled water,soda,waffles,chewing gum,shopping bags}"
"7858","{hygiene articles}"
"7859","{frankfurter,sausage,beef,citrus fruit,pip fruit,berries,other vegetables,whole milk,hard cheese,frozen vegetables,pastry,oil,baking powder,dog food,fruit/vegetable juice,bottled beer,specialty chocolate,seasonal products,detergent,soap}"
"7860","{shopping bags}"
"7861","{beef,margarine}"
"7862","{canned beer}"
"7863","{frankfurter,pork,dessert,UHT-milk,margarine,specialty fat,napkins}"
"7864","{frankfurter,beef,berries,other vegetables,whole milk}"
"7865","{whole milk,specialty bar}"
"7866","{beef,other vegetables,rolls/buns,pastry,soap}"
"7867","{canned beer}"
"7868","{canned beer}"
"7869","{whole milk,pastry,cocoa drinks,newspapers}"
"7870","{whole milk,instant coffee,bottled beer}"
"7871","{ham,whipped/sour cream,frozen vegetables,rolls/buns,seasonal products}"
"7872","{brandy}"
"7873","{frankfurter,grapes,yogurt,coffee,bottled water}"
"7874","{root vegetables,other vegetables,whole milk,butter milk,frozen meals}"
"7875","{hygiene articles}"
"7876","{hamburger meat,packaged fruit/vegetables,whole milk,whipped/sour cream,rolls/buns,bottled water,salty snack,chewing gum}"
"7877","{sausage,red/blush wine,newspapers}"
"7878","{meat,whole milk,curd,sliced cheese,flour,sugar,pudding powder,bottled water,soda,canned beer}"
"7879","{tropical fruit,whole milk,beverages,processed cheese,pastry,waffles,specialty bar}"
"7880","{root vegetables,onions,other vegetables,whole milk,frozen dessert,coffee,bottled beer}"
"7881","{pip fruit,coffee}"
"7882","{yogurt}"
"7883","{root vegetables,whole milk,curd,yogurt}"
"7884","{canned beer}"
"7885","{pork,other vegetables,whole milk,cereals}"
"7886","{root vegetables,yogurt,brown bread,shopping bags}"
"7887","{sausage,packaged fruit/vegetables,UHT-milk,pastry,soups,bottled water}"
"7888","{chocolate}"
"7889","{citrus fruit,whole milk,soft cheese,sliced cheese,cream cheese ,canned fish}"
"7890","{chicken,pastry}"
"7891","{whole milk,bottled water,bottled beer}"
"7892","{packaged fruit/vegetables}"
"7893","{whole milk,dessert}"
"7894","{beef,sugar,canned beer}"
"7895","{ham,tropical fruit}"
"7896","{newspapers}"
"7897","{frankfurter,processed cheese,domestic eggs,white bread,brown bread,ketchup,soda,hygiene articles}"
"7898","{whole milk,semi-finished bread,coffee,canned beer}"
"7899","{sausage,pip fruit,whole milk,curd,yogurt}"
"7900","{domestic eggs,rolls/buns,coffee,canned beer,brandy,chocolate,shopping bags}"
"7901","{dishes}"
"7902","{pork,beef,onions,yogurt,UHT-milk,frozen fish,rolls/buns,margarine,sugar,salty snack,newspapers}"
"7903","{tropical fruit,whole milk,cream cheese ,oil,cake bar}"
"7904","{yogurt,syrup,chewing gum,newspapers}"
"7905","{hamburger meat,root vegetables,whole milk,whipped/sour cream,flour,chocolate marshmallow,newspapers}"
"7906","{canned beer}"
"7907","{pet care,soda,chocolate,candy}"
"7908","{beef,berries,yogurt,whipped/sour cream}"
"7909","{chicken,root vegetables,yogurt,cream cheese ,napkins}"
"7910","{yogurt,frozen vegetables,shopping bags}"
"7911","{sugar}"
"7912","{newspapers}"
"7913","{hard cheese,frozen meals}"
"7914","{beef,root vegetables,bottled water}"
"7915","{beverages,domestic eggs,misc. beverages}"
"7916","{beef,whole milk,rolls/buns,pastry,cat food,waffles,chocolate,hygiene articles,newspapers,shopping bags}"
"7917","{rolls/buns}"
"7918","{whole milk,yogurt,baking powder,detergent,flower (seeds),shopping bags}"
"7919","{chicken}"
"7920","{sausage,hamburger meat,root vegetables,whole milk,domestic eggs,white bread,semi-finished bread,honey}"
"7921","{citrus fruit,grapes}"
"7922","{red/blush wine,sparkling wine}"
"7923","{whole milk}"
"7924","{pip fruit,other vegetables,canned beer}"
"7925","{turkey,tropical fruit,root vegetables,whole milk,newspapers}"
"7926","{frankfurter,margarine,bottled water,red/blush wine,long life bakery product}"
"7927","{canned beer}"
"7928","{pastry,soda,chocolate}"
"7929","{bottled water,brandy,whisky}"
"7930","{whole milk,hard cheese,brown bread,bottled beer,hygiene articles,newspapers,shopping bags}"
"7931","{citrus fruit,yogurt,newspapers}"
"7932","{whole milk,dessert,yogurt,canned fish,soda,fruit/vegetable juice,shopping bags}"
"7933","{bottled beer,brandy,whisky,chocolate,specialty chocolate,shopping bags}"
"7934","{liquor,salty snack,chocolate,specialty chocolate,specialty bar,seasonal products,shopping bags}"
"7935","{curd,coffee,soda,bottled beer,chocolate,candy,shopping bags}"
"7936","{other vegetables,whole milk,domestic eggs,margarine,fruit/vegetable juice}"
"7937","{nuts/prunes,soda,chocolate}"
"7938","{other vegetables,ice cream,oil,liqueur,specialty chocolate,shopping bags}"
"7939","{UHT-milk,bottled water,fruit/vegetable juice,canned beer}"
"7940","{pork,frozen fish,domestic eggs,sugar,misc. beverages,dental care,hygiene articles,shopping bags}"
"7941","{sausage,soft cheese,rolls/buns,canned beer}"
"7942","{beverages}"
"7943","{pastry,soda,specialty bar}"
"7944","{root vegetables,whole milk,yogurt,domestic eggs,rolls/buns,long life bakery product,napkins}"
"7945","{root vegetables,spices,kitchen towels}"
"7946","{beef,root vegetables,other vegetables,white bread,canned fruit,soda,chocolate,newspapers}"
"7947","{bathroom cleaner}"
"7948","{yogurt,UHT-milk,cream cheese ,rolls/buns,brown bread,pastry,pickled vegetables,canned fish,cling film/bags}"
"7949","{frankfurter,whole milk,yogurt,frozen fish,domestic eggs}"
"7950","{curd cheese,frozen meals}"
"7951","{whole milk,cream cheese ,domestic eggs,margarine,canned beer,long life bakery product,shopping bags}"
"7952","{grapes,dessert,yogurt,beverages,frozen vegetables,canned beer}"
"7953","{bottled water,bottled beer}"
"7954","{butter milk,sliced cheese}"
"7955","{sliced cheese,rolls/buns,specialty chocolate}"
"7956","{fruit/vegetable juice,chocolate}"
"7957","{female sanitary products}"
"7958","{rolls/buns,canned beer}"
"7959","{canned beer}"
"7960","{pip fruit,butter milk,cream cheese ,rolls/buns}"
"7961","{pip fruit,butter,rolls/buns,chocolate}"
"7962","{rolls/buns,brown bread}"
"7963","{beef}"
"7964","{frozen fish,bottled beer}"
"7965","{soda,specialty chocolate}"
"7966","{canned beer}"
"7967","{tropical fruit}"
"7968","{packaged fruit/vegetables,canned fish}"
"7969","{rolls/buns}"
"7970","{canned beer}"
"7971","{butter,domestic eggs,flour,soups,baking powder}"
"7972","{berries,soda,waffles}"
"7973","{root vegetables,canned beer,candles,shopping bags}"
"7974","{meat,brown bread,soda,misc. beverages,kitchen towels}"
"7975","{brown bread}"
"7976","{citrus fruit,yogurt,UHT-milk,pastry,sauces,coffee,light bulbs}"
"7977","{whole milk,popcorn,specialty chocolate,specialty bar,candy}"
"7978","{soda,bottled beer,liquor,red/blush wine,shopping bags}"
"7979","{root vegetables,other vegetables,packaged fruit/vegetables,rolls/buns,canned beer,red/blush wine}"
"7980","{tropical fruit,soda}"
"7981","{root vegetables,other vegetables,whole milk,butter,frozen vegetables,sugar,bottled water,fruit/vegetable juice}"
"7982","{grapes,salty snack}"
"7983","{margarine,long life bakery product}"
"7984","{beef,frozen meals,dog food}"
"7985","{yogurt,rolls/buns,vinegar,margarine,sparkling wine}"
"7986","{butter,pastry,long life bakery product,shopping bags}"
"7987","{rolls/buns,bottled water,specialty chocolate}"
"7988","{ham,other vegetables,hard cheese,pastry,chewing gum}"
"7989","{frankfurter,whole milk,yogurt,rolls/buns,margarine}"
"7990","{root vegetables,other vegetables,whole milk,processed cheese,mayonnaise,domestic eggs,brown bread,oil,soda,long life bakery product,shopping bags}"
"7991","{brown bread,salty snack}"
"7992","{hamburger meat,curd,hard cheese,flour,pasta,margarine,sugar,Instant food products,fruit/vegetable juice,chewing gum,hygiene articles,napkins}"
"7993","{frankfurter,tropical fruit,berries,butter milk,yogurt,whipped/sour cream,specialty cheese,rolls/buns}"
"7994","{beef,curd,frozen vegetables,frozen dessert,rolls/buns,coffee,newspapers,shopping bags}"
"7995","{root vegetables,UHT-milk,ice cream,frozen potato products,bottled water,soda,bottled beer,specialty bar,napkins,shopping bags}"
"7996","{butter milk,specialty bar,napkins}"
"7997","{sausage,pork,tropical fruit,root vegetables,other vegetables,whole milk,curd,rolls/buns,soda}"
"7998","{tropical fruit,pastry,soda,chocolate}"
"7999","{canned beer}"
"8000","{sausage,whole milk,brown bread}"
"8001","{soda}"
"8002","{tropical fruit,ketchup,shopping bags}"
"8003","{tropical fruit}"
"8004","{whole milk,frozen meals,rolls/buns,pastry,sugar,soda}"
"8005","{meat,nuts/prunes,canned beer}"
"8006","{beef,root vegetables,waffles,newspapers}"
"8007","{chewing gum,seasonal products}"
"8008","{ice cream}"
"8009","{other vegetables,soft cheese,specialty cheese,margarine,red/blush wine}"
"8010","{frozen dessert}"
"8011","{rolls/buns,bottled beer}"
"8012","{tropical fruit,rolls/buns}"
"8013","{sausage,rolls/buns,soda}"
"8014","{fruit/vegetable juice}"
"8015","{whole milk,cocoa drinks,shopping bags}"
"8016","{grapes,root vegetables,other vegetables,yogurt,white bread}"
"8017","{rolls/buns,margarine}"
"8018","{other vegetables,whole milk,yogurt,whipped/sour cream,meat spreads,instant coffee,soda}"
"8019","{ham,pork,citrus fruit,pip fruit,root vegetables,other vegetables,butter milk,beverages,sliced cheese,frozen vegetables,frozen fish,oil,margarine,canned vegetables}"
"8020","{yogurt,dish cleaner,candles}"
"8021","{sausage,whole milk,margarine,waffles,candles}"
"8022","{cookware}"
"8023","{pastry,chocolate,chocolate marshmallow}"
"8024","{beverages,rolls/buns,fruit/vegetable juice}"
"8025","{bottled beer}"
"8026","{tropical fruit,whole milk}"
"8027","{tropical fruit,whole milk,yogurt,rolls/buns,pastry,coffee,specialty chocolate}"
"8028","{whole milk}"
"8029","{pork,rolls/buns,margarine,canned beer,napkins}"
"8030","{canned beer}"
"8031","{pork,frozen potato products,rolls/buns,pastry,soda,white wine}"
"8032","{ice cream,specialty bar}"
"8033","{ice cream}"
"8034","{packaged fruit/vegetables,whipped/sour cream}"
"8035","{frankfurter,UHT-milk,hard cheese,spread cheese,brown bread,pastry,bottled water,seasonal products,shopping bags}"
"8036","{yogurt,rolls/buns,specialty bar}"
"8037","{pork,pip fruit,other vegetables,yogurt,domestic eggs}"
"8038","{tropical fruit,pastry,fruit/vegetable juice}"
"8039","{spread cheese,brown bread,canned beer,red/blush wine}"
"8040","{pastry}"
"8041","{other vegetables,yogurt,whipped/sour cream,mayonnaise,domestic eggs,canned fruit,pet care,misc. beverages,sparkling wine}"
"8042","{citrus fruit,pastry}"
"8043","{frankfurter,tropical fruit,pip fruit,sliced cheese,mayonnaise,domestic eggs,rolls/buns,fruit/vegetable juice,shopping bags}"
"8044","{chicken,tropical fruit,onions,other vegetables,butter milk,yogurt,beverages,sliced cheese,hard cheese,rolls/buns,pastry,cereals,chocolate,napkins,house keeping products}"
"8045","{sausage,ham,rolls/buns,soda,white wine}"
"8046","{frankfurter,root vegetables,frozen vegetables,white bread,bathroom cleaner}"
"8047","{whole milk,pastry,semi-finished bread}"
"8048","{frankfurter,sausage,chicken,citrus fruit,root vegetables,herbs,packaged fruit/vegetables,whole milk,salt,sugar,bottled beer,napkins}"
"8049","{soda,bottled beer,shopping bags}"
"8050","{sausage,white bread,coffee,soda,shopping bags}"
"8051","{whole milk,specialty chocolate}"
"8052","{whole milk,dog food,cat food,soda,chocolate,napkins}"
"8053","{brown bread,sparkling wine}"
"8054","{UHT-milk}"
"8055","{hamburger meat,other vegetables,napkins}"
"8056","{other vegetables,condensed milk,soda,newspapers}"
"8057","{whole milk,coffee,chocolate,shopping bags}"
"8058","{canned beer,waffles,chocolate}"
"8059","{canned beer}"
"8060","{male cosmetics,napkins}"
"8061","{bottled beer}"
"8062","{newspapers}"
"8063","{whole milk}"
"8064","{yogurt,canned beer}"
"8065","{frozen meals}"
"8066","{other vegetables}"
"8067","{whole milk}"
"8068","{other vegetables,whole milk,whipped/sour cream,coffee,flower (seeds)}"
"8069","{soda}"
"8070","{curd,dessert,rolls/buns,seasonal products,dishes}"
"8071","{whole milk,ice cream,prosecco}"
"8072","{bottled water,canned beer,white wine,specialty bar,shopping bags}"
"8073","{citrus fruit,prosecco,specialty bar,shopping bags}"
"8074","{domestic eggs}"
"8075","{newspapers}"
"8076","{hamburger meat,berries,dessert,whipped/sour cream,shopping bags}"
"8077","{detergent}"
"8078","{cookware}"
"8079","{pork,root vegetables,herbs,whole milk,frozen vegetables,rolls/buns,sweet spreads,detergent,flower (seeds)}"
"8080","{canned beer}"
"8081","{sausage,tropical fruit,cream cheese ,pastry,bottled water}"
"8082","{soft cheese,frozen meals,domestic eggs,rolls/buns,cat food}"
"8083","{canned fruit}"
"8084","{frankfurter,ham,meat,pip fruit,berries,UHT-milk,soft cheese,sliced cheese,cream cheese ,frozen vegetables,frozen fish,white bread,brown bread,sugar,sauces,sweet spreads,canned fish,pet care,fruit/vegetable juice,specialty bar,kitchen towels}"
"8085","{frankfurter,whole milk,rolls/buns,cling film/bags,shopping bags}"
"8086","{berries,yogurt,specialty cheese}"
"8087","{ice cream}"
"8088","{sausage,meat}"
"8089","{whole milk,yogurt,roll products }"
"8090","{UHT-milk}"
"8091","{whole milk}"
"8092","{meat,frozen vegetables,soda}"
"8093","{beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,cream cheese ,rolls/buns,rice,vinegar,baking powder,detergent}"
"8094","{yogurt,salt,coffee,specialty bar,softener,hygiene articles}"
"8095","{canned beer,shopping bags}"
"8096","{grapes,chocolate}"
"8097","{whole milk}"
"8098","{whole milk,domestic eggs}"
"8099","{canned beer}"
"8100","{tropical fruit,pip fruit}"
"8101","{onions,oil,dog food,bottled water,dish cleaner,shopping bags}"
"8102","{whole milk,butter milk,cream cheese ,fruit/vegetable juice}"
"8103","{chicken,butter}"
"8104","{other vegetables,roll products }"
"8105","{citrus fruit,hard cheese}"
"8106","{white wine}"
"8107","{pork,citrus fruit,tropical fruit,grapes,root vegetables,cream cheese ,pet care,bottled water,fruit/vegetable juice,bottled beer}"
"8108","{whole milk}"
"8109","{candy,hygiene articles}"
"8110","{chicken,soda,liquor (appetizer),newspapers,shopping bags}"
"8111","{citrus fruit,butter milk,white bread,canned fish,bottled water,sparkling wine,male cosmetics}"
"8112","{grapes,rolls/buns,long life bakery product,candy}"
"8113","{rolls/buns}"
"8114","{hamburger meat,tropical fruit,onions,canned vegetables,soda,candy,shopping bags}"
"8115","{other vegetables}"
"8116","{candy}"
"8117","{sausage,other vegetables,beverages,rolls/buns,red/blush wine,specialty chocolate,shopping bags}"
"8118","{pork,onions,yogurt}"
"8119","{onions,other vegetables,whole milk,yogurt,whipped/sour cream,tea,cleaner,bathroom cleaner}"
"8120","{beef,citrus fruit,grapes,root vegetables,rolls/buns,dog food,chocolate}"
"8121","{yogurt,bottled water,white wine}"
"8122","{sparkling wine}"
"8123","{citrus fruit}"
"8124","{semi-finished bread}"
"8125","{soda}"
"8126","{frankfurter,citrus fruit,other vegetables,UHT-milk,syrup,seasonal products,newspapers}"
"8127","{white bread,specialty bar}"
"8128","{white wine}"
"8129","{fish,citrus fruit,tropical fruit,other vegetables,oil,margarine,white wine}"
"8130","{ham}"
"8131","{beverages,rolls/buns,bottled water}"
"8132","{soda,specialty chocolate,shopping bags}"
"8133","{sliced cheese,canned beer}"
"8134","{tropical fruit,waffles,newspapers}"
"8135","{rolls/buns,soda}"
"8136","{waffles}"
"8137","{bottled beer}"
"8138","{hamburger meat,soft cheese,hard cheese,baking powder,meat spreads,dish cleaner}"
"8139","{other vegetables,frozen meals,soda}"
